Token	POS-Tag	Sentence
A	DET	A necessidade da alimentação dos vícios torna o vadio ladrão.
necessidade	NOUN	A necessidade da alimentação dos vícios torna o vadio ladrão.
da	DET	A necessidade da alimentação dos vícios torna o vadio ladrão.
alimentação	NOUN	A necessidade da alimentação dos vícios torna o vadio ladrão.
dos	ADP	A necessidade da alimentação dos vícios torna o vadio ladrão.
vícios	NOUN	A necessidade da alimentação dos vícios torna o vadio ladrão.
torna	VERB	A necessidade da alimentação dos vícios torna o vadio ladrão.
o	DET	A necessidade da alimentação dos vícios torna o vadio ladrão.
vadio	ADJ	A necessidade da alimentação dos vícios torna o vadio ladrão.
ladrão	NOUN	A necessidade da alimentação dos vícios torna o vadio ladrão.
.	PUNCT	A necessidade da alimentação dos vícios torna o vadio ladrão.
Domingos	PROPN	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
Caetano	PROPN	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
e	CCONJ	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
Angélica	PROPN	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
fatigaram-se	VERB	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
de	SCONJ	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
duvidar	VERB	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
,	PUNCT	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
e	CCONJ	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
cederam	VERB	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
à	DET	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
evidência	NOUN	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
,	PUNCT	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
reconhecendo	VERB	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
que	SCONJ	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
Simeão	PROPN	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
lhes	PRON	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
furtava	VERB	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
dinheiro	NOUN	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
e	CCONJ	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
objetos	NOUN	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
de	ADP	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
valor	NOUN	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
;	PUNCT	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
mas	CCONJ	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
em	ADP	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
vez	NOUN	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
de	SCONJ	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
castigá-lo	VERB	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
com	ADP	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
severidade	NOUN	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
,	PUNCT	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
fracos	ADJ	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
ainda	ADV	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
,	PUNCT	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
quiseram	VERB	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
ver	VERB	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
no	DET	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
crime	NOUN	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
apenas	ADV	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
uma	NUM	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
extravagância	NOUN	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
da	DET	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
mocidade	NOUN	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
