Token	Sentença
[CLS]	A necessidade da alimentação dos vícios torna o vadio ladrão.
A	A necessidade da alimentação dos vícios torna o vadio ladrão.
necessidade	A necessidade da alimentação dos vícios torna o vadio ladrão.
da	A necessidade da alimentação dos vícios torna o vadio ladrão.
alimentação	A necessidade da alimentação dos vícios torna o vadio ladrão.
dos	A necessidade da alimentação dos vícios torna o vadio ladrão.
ví	A necessidade da alimentação dos vícios torna o vadio ladrão.
##cios	A necessidade da alimentação dos vícios torna o vadio ladrão.
torna	A necessidade da alimentação dos vícios torna o vadio ladrão.
o	A necessidade da alimentação dos vícios torna o vadio ladrão.
va	A necessidade da alimentação dos vícios torna o vadio ladrão.
##dio	A necessidade da alimentação dos vícios torna o vadio ladrão.
lad	A necessidade da alimentação dos vícios torna o vadio ladrão.
##rão	A necessidade da alimentação dos vícios torna o vadio ladrão.
.	A necessidade da alimentação dos vícios torna o vadio ladrão.
[SEP]	A necessidade da alimentação dos vícios torna o vadio ladrão.
[CLS]	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
Domingos	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
Caetano	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
e	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
Ang	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##élica	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
fa	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##ti	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##garam	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
-	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
se	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
de	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
du	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##vida	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##r	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
,	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
e	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
ceder	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##am	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
à	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
evidência	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
,	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
reconhece	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
